#######################
# general information #
#######################

# file:         woa_2016.tsv
# created:      2016-01-16
# last update:  2016-07-31
# author(s):    Marcel Schilling <marcel.schilling@mdc-berlin.de>
# license:      GNU Affero General Public License Version 3 (GNU AGPL v3)
# purpose:      input file for WOA 2016 scheduling


######################################
# change log (reverse chronological) #
######################################

# 2016-07-31: fixed typos in band names
#             updated Borknagar rating & live counts
#             added missing bands
#             removed columns for Marta
# 2016-02-02: adjusted lineup (2 cancellations & 2 replacement bands) incl.
#             ratings/live counts for Inbal & Marcel
# 2016-01-24: fixed umlaut characters
#             fixed date in changelog comment
# 2016-01-22: added ratings/live counts for Marcel, Inbal & Rick
# 2016-01-16: initial version (band & user names only)


#########
# table #
#########

band	rating.Marcel	rating.Inbal	rating.Rick	live_count.Marcel	live_count.Inbal	live_count.Rick	stage	start	end
Hteththemeth	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ihsahn	+	++	?	0	1	0	NA	NA	NA
Immolation	--	--	--	0	0	0	NA	NA	NA
Insidious Disease	--	-	--	0	0	0	NA	NA	NA
Iron Maiden	+++	++	+++	1	1	0	NA	NA	NA
Jesus Chrüsler Supercar	+	+	+	0	0	0	NA	NA	NA
John Coffey	?	--	?	0	0	0	NA	NA	NA
Kampfar	-	++	--	0	0	0	NA	NA	NA
King Dude	+	?	+	0	0	0	NA	NA	NA
Knasterbart	NA	NA	NA	NA	NA	NA	NA	NA	NA
Krayenzeit	+	+	+	0	0	0	NA	NA	NA
Lamb of God	+	++	++	0	0	0	NA	NA	NA
Legacy of Brutality	NA	NA	NA	NA	NA	NA	NA	NA	NA
Legion Of The Damned	-	+	--	0	0	0	NA	NA	NA
Lemmy - Born To Lose, Live To Win	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lepergod	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lieveil	NA	NA	NA	NA	NA	NA	NA	NA	NA
Light & Freak Show	NA	NA	NA	NA	NA	NA	NA	NA	NA
Loudness	+	?	+	0	0	0	NA	NA	NA
Lynchpin	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mambo Kurt	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marduk	-	+++	--	0	0	0	NA	NA	NA
Metal Church	?	?	+	0	0	0	NA	NA	NA
Michael Monroe	+	?	+++	0	0	0	NA	NA	NA
Miles To Perdition	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mindtaker	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ministry	-	---	?	1	1	0	NA	NA	NA
Monstagon	?	+	+	0	0	0	NA	NA	NA
Monuments	+	+	-	0	0	0	NA	NA	NA
Mr. Hurley und die Pulveraffen	++	+	++	1	0	0	NA	NA	NA
Myrkur	?	+	?	0	0	0	NA	NA	NA
Nasty	--	--	--	0	0	0	NA	NA	NA
Negative Approach	+	--	?	0	0	0	NA	NA	NA
Orden Ogan	+	++	?	0	0	0	NA	NA	NA
Orphaned Land	++	+++	?	0	3	0	NA	NA	NA
Overthrust	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pain Is	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pampatut	-	?	?	0	0	0	NA	NA	NA
Panzerballett	++	+	+	0	0	0	NA	NA	NA
Parkway Drive	?	-	--	0	0	0	NA	NA	NA
Phil Campbell's All Starr Band	NA	NA	NA	NA	NA	NA	NA	NA	NA
Preternatural	NA	NA	NA	NA	NA	NA	NA	NA	NA
Profaner	NA	NA	NA	NA	NA	NA	NA	NA	NA
Promoters Farewell & Thanks	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pyogenesis	?	--	-	0	0	0	NA	NA	NA
Pyraweed	NA	NA	NA	NA	NA	NA	NA	NA	NA
Red Fang	+++	?	?	1	0	0	NA	NA	NA
Red Hot Chili Pipers	+	++	++	0	0	0	NA	NA	NA
Reliquiae	+	+	+	0	0	0	NA	NA	NA
Ritual Day	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saxon	++	+	++	1	0	0	NA	NA	NA
Sebastien	+	?	+	0	0	0	NA	NA	NA
Sector	NA	NA	NA	0	0	0	NA	NA	NA
Serious Black	++	+	++	0	0	0	NA	NA	NA
Serum 114	+	-	++	0	0	0	NA	NA	NA
Sinphobia	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sir Henry Hot + Band	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sir Henry Hot	NA	NA	NA	NA	NA	NA	NA	NA	NA
Skyline	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snowy Shaw	+	+++	?	0	0	0	NA	NA	NA
Steak Number Eight	NA	NA	NA	NA	NA	NA	NA	NA	NA
Steel Panther	++	?	+++	2	0	1	NA	NA	NA
Sub Dub Micromachine	?	+	?	0	0	0	NA	NA	NA
Sunless Dawn	NA	NA	NA	NA	NA	NA	NA	NA	NA
Svartmalm	NA	NA	NA	NA	NA	NA	NA	NA	NA
Symphony X	++	++	-	0	0	0	NA	NA	NA
Syndemic	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tarja	++	++	+	0	0	0	NA	NA	NA
Testament	++	?	+	0	0	0	NA	NA	NA
The Beards	++	++	++	0	0	0	NA	NA	NA
The Black Dahlia Murder	?	?	?	0	0	0	NA	NA	NA
The Dead Daisies	++	+	NA	0	0	NA	NA	NA	NA
The Goddamn Gallows	+	+	+	0	0	0	NA	NA	NA
The Haunted	?	--	--	0	0	0	NA	NA	NA
The O'Reillys and the Paddyhats	NA	NA	NA	NA	NA	NA	NA	NA	NA
The Other	++	+	?	0	0	0	NA	NA	NA
The Raven Age	NA	NA	NA	NA	NA	NA	NA	NA	NA
The Vintage Caravan	++	+	+	0	0	0	NA	NA	NA
Therapy?	?	?	+	0	0	0	NA	NA	NA
Therion	++	++	+	0	1	0	NA	NA	NA
Tidal Dreams	NA	NA	NA	NA	NA	NA	NA	NA	NA
Torfrock	+	--	++	1	0	0	NA	NA	NA
Triptykon	?	?	--	0	0	0	NA	NA	NA
Tsjuder	--	+++	--	0	1	0	NA	NA	NA
Tulkas	NA	NA	NA	NA	NA	NA	NA	NA	NA
tuXedoo	+	+	?	0	0	0	NA	NA	NA
Twisted Sister	+++	+	+++	0	0	0	NA	NA	NA
Unisonic	+++	?	?	0	0	0	NA	NA	NA
Vader	--	?	-	0	0	0	NA	NA	NA
Versengold	++	+	++	0	0	0	NA	NA	NA
Victims Of Madness	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vimoksha	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vogelfrey	+	++	++	1	0	0	NA	NA	NA
Watch Out Stampede	+	?	+	0	0	0	NA	NA	NA
While She Sleeps	+	+	?	0	0	0	NA	NA	NA
Whitesnake	++	?	+++	0	0	0	NA	NA	NA
Wirrwahr	NA	NA	NA	NA	NA	NA	NA	NA	NA
W:O:A Firefighters	NA	NA	NA	NA	NA	NA	NA	NA	NA
Year of The Goat	+	+	+	0	0	0	NA	NA	NA
zhOra	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zombies Ate My Girlfriend	NA	NA	NA	NA	NA	NA	NA	NA	NA
