#######################
# general information #
#######################

# file:        woa_2018.tsv
# created:     2017-08-07
# last-update: 2018-07-30
# author(s):   Marcel Schilling <marcel.schilling@mdc-berlin.de>
# license:     GNU Affero General Public License Version 3 (GNU AGPL v3)
# purpose:     input file for WOA 2018 scheduling


######################################
# change log (reverse chronological) #
######################################

# 2018-07-30: replaced Manilla Road by Savage Messiah
#             corrected start time of John Diva & The Rockets Of Love
# 2018-07-27: added ratings & live counts / fixed typos / fixed time & date format
# 2018-07-25: added ratings & live counts from previous years
#             added full line-up and running order
# 2017-08-07: initial version (first round of bands with ratings & live counts for Inbal & Marcel)


#########
# table #
#########

band	rating.Marcel	rating.Inbal	live_count.Marcel	live_count.Inbal	stage	start	end
Blues Pills	++	+	1	0	W:E:T Stage	03-08-2018_21:40	03-08-2018_22:25
Bömbers	?	-	0	0	Beer Garden	03-08-2018_21:00	03-08-2018_21:45
Bömbers	?	-	0	0	Beer Garden	04-08-2018_18:15	04-08-2018_19:00
Bonfire	+	-	0	0	Headbangers Stage	05-08-2018_02:25	05-08-2018_01:10
Budderside	+	?	0	0	Wasteland Stage	02-08-2018_22:15	02-08-2018_23:00
Cannibal Corpse	--	+	0	0	Harder	03-08-2018_12:15	03-08-2018_13:15
Canterra	-	--	0	0	Wackiner Stage	03-08-2018_15:00	03-08-2018_15:45
Cemican	-	+	0	0	Wackinger Stage	04-08-2018_16:30	04-08-2018_17:15
Centuries of Decay	?	-	0	0	Headbangers Stage	01-08-2018_13:55	01-08-2018_14:15
Children Of Bodom	++	++	1	1	Faster	03-08-2018_18:05	03-08-2018_19:05
Chuan-Tzu	-	-	0	0	Wasteland Stage	03-08-2018_15:45	03-08-2018_16:30
Chugger	?	?	0	0	Headbangers Stage	01-08-2018_13:05	01-08-2018_13:25
Clawfinger	-	--	0	0	Louder	03-08-2018_21:00	03-08-2018_22:15
Clowns	?	+	0	0	Beer Garden	02-08-2018_20:00	02-08-2018_21:00
Converge	?	--	0	0	Headbangers Stage	02-08-2018_19:10	02-08-2018_20:10
Cordura	-	-	0	0	Headbangers Stage	01-08-2018_15:35	01-08-2018_15:35
Dalriada	+	+	0	0	Wackinger Stage	04-08-2018_21:00	04-08-2018_22:00
Danzig	++	+	0	0	Faster	02-08-2018_20:45	02-08-2018_22:00
Dark Tranquillity	++	+++	1	0	Louder	03-08-2018_13:25	03-08-2018_14:25
Da Rocka & da Waitler	?	--	0	0	Beer Garden	02-08-2018_15:00	02-08-2018_15:30
Da Rocka & da Waitler	?	--	0	0	Wackiner Stage	03-08-2018_12:00	03-08-2018_12:45
Da Rocka & da Waitler	?	--	0	0	Wackinger Stage	01-08-2018_12:30	01-08-2018_13:15
Da Rocka & da Waitler	?	--	0	0	Wackinger Stage	04-08-2018_13:30	04-08-2018_12:15
Dartagnan	+	?	0	0	Wackinger Stage	01-08-2018_21:30	01-08-2018_22:15
Das Pack	?	--	0	0	Beer Garden	03-08-2018_13:30	03-08-2018_15:30
Der Wahnsinn	+	?	0	0	Wasteland Stage	03-08-2018_15:45	03-08-2018_16:30
Deserted Fear	?	--	0	0	W:E:T Stage	02-08-2018_16:25	02-08-2018_17:10
Destruction	?	--	0	0	W:E:T Stage	03-08-2018_19:15	03-08-2018_20:00
Dezperadoz	+	+	0	0	W:E:T Stage	03-08-2018_11:00	03-08-2018_11:30
Diablo Blvd	+	?	0	0	W:E:T Stage	04-08-2018_17:30	04-08-2018_18:15
Die Apokalyptischen Reiter	+	++	2	0	Louder	04-08-2018_17:00	04-08-2018_18:15
Die From Sorrow	?	+	0	0	W:E:T Stage	02-08-2018_11:25	02-08-2018_11:45
Dimmu Borgir	-	+++	0	0	Faster	05-08-2018_00:15	05-08-2018_01:30
Dirkschneider	++	?	0	0	Faster	02-08-2018_17:15	02-08-2018_18:50
Dirt-A-Gogo	+	+	0	0	Wasteland Stage	03-08-2018_15:45	03-08-2018_16:30
Dokken	+	?	0	0	Faster	02-08-2018_14:30	02-08-2018_15:30
Dool	++	+	0	0	Headbangers Stage	03-08-2018_18:20	03-08-2018_19:05
Doro	++	++	2	2	Harder	03-08-2018_19:15	03-08-2018_20:45
Doro	++	++	2	2	Metal Church	01-08-2018_19:15	01-08-2018_20:30
Down For Life	--	--	0	0	W:E:T Stage	01-08-2018_11:50	01-08-2018_12:10
Dust Bolt	+	?	0	0	Wasteland Stage	01-08-2018_19:15	01-08-2018_20:00
Dying Fetus	--	+	0	0	W:E:T Stage	02-08-2018_22:25	02-08-2018_23:10
End All	+	?	0	0	Headbangers Stage	02-08-2018_16:00	02-08-2018_16:20
Ensiferum	++	++	4	2	Louder	04-08-2018_20:00	04-08-2018_21:15
Enslaved	+	+	0	0	W:E:T Stage	04-08-2018_21:10	04-08-2018_21:55
Epica	++	++	1	3	Faster	03-08-2018_15:45	03-08-2018_16:45
Erik Cohen	+	---	0	0	W:E:T Stage	04-08-2018_14:05	04-08-2018_14:50
Eskimo Callboy	-	++	0	3	Louder	05-08-2018_00:15	05-08-2018_01:30
Eufobia	?	-	0	0	Headbangers Stage	01-08-2018_16:25	01-08-2018_16:45
Every Dog Has Its Day	--	---	0	0	Headbangers Stage	02-08-2018_13:30	02-08-2018_13:50
Evil Invaders	?	-	0	0	Wasteland Stage	01-08-2018_20:45	01-08-2018_21:30
Exit Eden	?	--	0	0	Wackinger Stage	02-08-2018_21:30	02-08-2018_22:15
Extrabreit	++	--	0	0	Beer Garden	01-08-2018_21:15	01-08-2018_22:15
Feuerschwanz	++	+	5	2	Wackinger Stage	02-08-2018_23:00	03-08-2018_00:00
Firewind	+	?	0	0	W:E:T Stage	03-08-2018_17:25	03-08-2018_18:10
Fischer-Z	+	+	0	0	W:E:T Stage	01-08-2018_18:30	01-08-2018_19:30
Fish	+	?	0	0	Headbangers Stage	01-08-2018_19:40	01-08-2018_20:40
Fozzy	+	+	0	0	Headbangers Stage	03-08-2018_16:30	03-08-2018_17:15
Fro-Tee Slips	?	--	0	0	Beer Garden	04-08-2018_15:30	04-08-2018_16:15
Gaahl's Wyrd	-	++	0	0	W:E:T Stage	03-08-2018_00:15	03-08-2018_01:00
Ganaim	+	?	0	0	Wackinger Stage	01-08-2018_17:00	01-08-2018_17:45
Ganaim	+	?	0	0	Wackinger Stage	02-08-2018_12:30	02-08-2018_13:15
Ghost	+++	+++	4	2	Harder	04-08-2018_01:45	04-08-2018_03:00
Godless	-	?	0	0	Headbangers Stage	01-08-2018_11:25	01-08-2018_11:45
Gojira	+	++	0	1	Faster	04-08-2018_17:00	04-08-2018_18:15
Gruesome	-	-	0	0	Headbangers Stage	02-08-2018_17:20	02-08-2018_18:05
Haggefugg	+	+	0	0	Wackinger Stage	01-08-2018_15:30	01-08-2018_16:15
Hardbone	+	--	0	0	Headbangers Stage	04-08-2018_00:25	04-08-2018_01:10
Hatebreed	+	?	0	0	Louder	02-08-2018_20:45	02-08-2018_22:00
Hate Squad	?	-	0	0	W:E:T Stage	04-08-2018_12:35	04-08-2018_13:10
Heathen Apostles	?	?	0	0	Beer Garden	04-08-2018_14:15	04-08-2018_15:00
Heidevolk	+	+	1	0	Wackinger Stage	04-08-2018_23:00	05-08-2018_00:00
Heilung	?	+	0	0	Wackinger Stage	01-08-2018_23:00	02-08-2018_00:00
Helloween - Pumkins United	+++	++	1	0	Harder	04-08-2018_21:30	05-08-2018_00:00
Hellzapoppin Circus Sideshow Revue	--	?	0	0	Wasteland Stage	02-08-2018_00:00	02-08-2018_00:30
Hellzapoppin Circus Sideshow Revue	--	?	0	0	Wasteland Stage	03-08-2018_00:00	03-08-2018_00:30
Helmet	+	+	0	0	Headbangers Stage	04-08-2018_20:15	04-08-2018_21:00
Herrschaft	--	+	0	0	Wasteland Stage	03-08-2018_15:45	03-08-2018_16:30
Ignis Fatuu	+	+	1	0	Wackinger Stage	01-08-2018_14:00	01-08-2018_14:45
In Extremo	+++	+	13	2	Harder	05-08-2018_01:40	05-08-2018_02:55
In Flames	++	++	3	1	Faster	04-08-2018_00:15	04-08-2018_01:30
Ingrimm	?	-	0	0	Wackinger Stage	02-08-2018_15:30	02-08-2018_16:15
Ivan Ivanovich & The Kreml Krauts	+	+	0	0	Beer Garden	01-08-2018_14:30	01-08-2018_15:15
Ivan Ivanovich & The Kreml Krauts	+	+	0	0	Wackinger Stage	02-08-2018_11:00	02-08-2018_11:45
Jack Broadbent	+	?	0	0	Beer Garden	03-08-2018_16:00	03-08-2018_17:00
Jasad	--	--	0	0	Wasteland Stage	03-08-2018_15:45	03-08-2018_16:30
Jesper Binzer	+	+	0	0	Beer Garden	01-08-2018_20:00	01-08-2018_20:45
John Diva And The Rockets Of Love	++	++	2	2	Beer Garden	02-08-2018_21:30	02-08-2018_22:30
Judas Priest	++	+	2	1	Harder	02-08-2018_22:30	03-08-2018_00:00
Karaoke Till Death	+	-	0	0	Beer Garden	01-08-2018_22:45	02-08-2018_00:00
Karaoke Till Death	+	-	0	0	Beer Garden	02-08-2018_23:00	03-08-2018_00:00
Karaoke Till Death	+	-	0	0	Beer Garden	03-08-2018_22:30	04-08-2018_00:00
Karaoke Till Death	+	-	0	0	Beer Garden	04-08-2018_22:45	05-08-2018_00:00
Kellermensch	+	?	0	0	Headbangers Stage	03-08-2018_11:35	03-08-2018_12:15
Knorkator	++	+	2	0	Louder	04-08-2018_14:30	04-08-2018_15:30
Koorpiklaani	++	+	6	0	Harder	03-08-2018_14:35	03-08-2018_15:35
Leaves' Eyes	+	+	0	0	Wackiner Stage	03-08-2018_18:00	03-08-2018_18:45
Lee Aaron	+	-	0	0	Headbangers Stage	03-08-2018_22:35	03-08-2018_23:20
Lemmy - The Movie	+	--	1	0	Movie Field	02-08-2018_01:45	02-08-2018_04:15
Long Distance Calling	+	+	0	0	Headbangers Stage	04-08-2018_16:35	04-08-2018_17:20
Lotrify	?	+	0	0	W:E:T Stage	01-08-2018_11:00	01-08-2018_11:20
Lovebites	?	--	0	0	W:E:T Stage	04-08-2018_11:25	04-08-2018_11:55
Madball	?	--	0	0	Headbangers Stage	04-08-2018_18:25	04-08-2018_19:10
Malicious Culebra	-	?	0	0	W:E:T Stage	02-08-2018_15:35	02-08-2018_15:55
Mambo Kurt	++	++	8	3	Headbangers Stage	02-08-2018_00:00	02-08-2018_01:00
Mambo Kurt	++	++	8	3	Beer Garden	02-08-2018_12:30	02-08-2018_13:15
Manntra	?	?	0	0	Wackinger Stage	04-08-2018_15:00	04-08-2018_15:45
Mantar	?	+	0	0	W:E:T Stage	03-08-2018_23:30	04-08-2018_00:15
Markus Krebs	--	---	0	0	Beer Garden	01-08-2018_18:15	01-08-2018_19:15
Maschine's Late Night Show	-	---	0	0	Welcome To The Jungle	01-08-2018_23:00	02-08-2018_00:00
Maschine's Late Night Show	-	---	0	0	Welcome To The Jungle	02-08-2018_23:00	03-08-2018_00:00
Maschine's Late Night Show	-	---	0	0	Welcome To The Jungle	03-08-2018_23:00	04-08-2018_00:00
Maschine's Late Night Show	-	---	0	0	Welcome To The Jungle	04-08-2018_23:00	05-08-2018_00:00
Metal Disco	?	-	0	0	Headbangers Stage	03-08-2018_01:00	03-08-2018_03:00
Metal Disco	?	-	0	0	W:E:T Stage	02-08-2018_01:00	02-08-2018_03:00
Metal Yoga	-	+	0	0	Welcome To The Jungle	01-08-2018_11:00	01-08-2018_12:00
Metal Yoga	-	+	0	0	Welcome To The Jungle	02-08-2018_11:00	02-08-2018_12:00
Metal Yoga	-	+	0	0	Welcome To The Jungle	03-08-2018_11:00	03-08-2018_12:00
Metal Yoga	-	+	0	0	Welcome To The Jungle	04-08-2018_11:00	04-08-2018_12:00
Metusa	?	-	0	0	Wackinger Stage	04-08-2018_19:30	04-08-2018_20:15
Monstagon	?	+	0	0	Wasteland Stage	02-08-2018_19:15	02-08-2018_20:00
Motanka	?	+	0	0	W:E:T Stage	02-08-2018_12:15	02-08-2018_12:35
Mr. Big	+	?	0	0	Louder	03-08-2018_15:45	03-08-2018_16:45
Nazareth	++	+	0	0	W:E:T Stage	01-08-2018_20:50	01-08-2018_21:50
Nemoreus	?	-	0	0	W:E:T Stage	01-08-2018_15:10	01-08-2018_15:30
Night Demon	+	?	0	0	Headbangers Stage	04-08-2018_14:55	04-08-2018_15:40
Nightwish	+++	+++	2	3	Faster	03-08-2018_21:00	03-08-2018_22:15
Nocturnal Rites	+	+	0	0	W:E:T Stage	04-08-2018_19:20	04-08-2018_20:15
Ondt Blod	?	-	0	0	Wasteland Stage	04-08-2018_18:45	04-08-2018_19:30
Onkel Tom	-	-	0	0	Beer Garden	04-08-2018_21:00	04-08-2018_22:00
Oomph!	++	++	1	1	Louder	02-08-2018_17:15	02-08-2018_18:50
Otto & Die Friesenjungs	+	+	0	0	Louder	04-08-2018_00:15	04-08-2018_01:30
Outro	?	--	6	0	Harder	05-08-2018_02:55	05-08-2018_03:00
Pampatut	-	--	0	0	Wackiner Stage	03-08-2018_13:30	03-08-2018_11:15
Pampatut	-	--	0	0	Wackinger Stage	01-08-2018_11:00	01-08-2018_11:45
Pampatut	-	--	0	0	Wackinger Stage	02-08-2018_14:00	02-08-2018_14:45
Pampatut	-	--	0	0	Wackinger Stage	04-08-2018_12:00	04-08-2018_12:45
Persefone	?	-	0	0	W:E:T Stage	03-08-2018_12:20	03-08-2018_13:05
Phenomy	?	+	0	0	Headbangers Stage	02-08-2018_11:50	02-08-2018_12:10
Phrenetix	+	?	0	0	W:E:T Stage	01-08-2018_12:40	01-08-2018_13:00
Pikes Edge	?	-	0	0	Wasteland Stage	02-08-2018_14:45	02-08-2018_15:30
Plainride	?	?	0	0	Wasteland Stage	04-08-2018_15:45	04-08-2018_16:30
Promoters Farwell & Thanks	-	--	0	0	Harder	05-08-2018_01:35	05-08-2018_01:40
Red Hot Chilli Pipers	+	++	1	2	Wackiner Stage	03-08-2018_21:00	03-08-2018_22:00
Rezet	?	?	0	0	Wasteland Stage	01-08-2018_17:45	01-08-2018_18:30
Riot V	++	+	0	0	Louder	04-08-2018_12:00	04-08-2018_13:00
Rogers	?	--	0	0	W:E:T Stage	03-08-2018_15:40	03-08-2018_16:25
Rose Bogey's	+	+	0	0	Beer Garden	01-08-2018_12:00	01-08-2018_12:45
Running Wild	++	+	1	0	Harder	03-08-2018_22:30	04-08-2018_00:00
Salamanda	?	--	0	0	Beer Garden	03-08-2018_13:00	03-08-2018_14:00
Samael	+	++	0	0	W:E:T Stage	04-08-2018_23:15	05-08-2018_00:15
Sarke	?	-	0	0	Headbangers Stage	02-08-2018_23:20	03-08-2018_00:05
Savage Messiah	+	+	0	0	W:E:T Stage	05-08-2018_01:20	05-08-2018_02:05
Schandmaul	++	+	3	1	Harder	03-08-2018_16:55	03-08-2018_17:55
Schidl 'n' Schedl	?	--	0	0	Beer Garden	02-08-2018_16:00	02-08-2018_16:45
Sepultura	?	+	0	2	W:E:T Stage	01-08-2018_22:55	01-08-2018_23:55
Shiran	?	+	0	0	Headbangers Stage	01-08-2018_14:45	01-08-2018_15:05
Skiltron	++	+	0	0	Wackinger Stage	04-08-2018_18:00	04-08-2018_18:45
Skindred	+	+	0	0	Harder	04-08-2018_15:45	04-08-2018_16:45
Skyline	+	+	6	2	Harder	02-08-2018_13:30	02-08-2018_14:15
Slumdog Metal	?	--	0	0	Movie Field	01-08-2018_23:30	01-08-2018_23:55
Soen	++	?	1	0	Headbangers Stage	04-08-2018_02:15	04-08-2018_03:00
Solstafir	++	+++	1	1	Headbangers Stage	04-08-2018_22:05	04-08-2018_23:05
Spoil Engine	?	+	0	0	W:E:T Stage	04-08-2018_15:45	04-08-2018_16:30
Steel Night	+	?	0	0	Headbangers Stage	02-08-2018_14:20	02-08-2018_14:40
Steel Panther	++	---	3	0	Harder	04-08-2018_18:30	04-08-2018_19:45
Stiff Little Fingers	?	-	0	0	Headbangers Stage	01-08-2018_17:20	01-08-2018_18:20
Tarchon Fist	?	?	0	0	W:E:T Stage	01-08-2018_13:30	01-08-2018_13:50
The Bloodstrings	?	+	0	0	Wasteland Stage	04-08-2018_17:15	04-08-2018_18:00
The Charm The Fury	?	-	0	0	Headbangers Stage	04-08-2018_13:15	04-08-2018_14:00
The Flying Scarecrow	+	?	0	0	W:E:T Stage	02-08-2018_13:55	02-08-2018_14:15
The Frigth	+	+	0	0	Wasteland Stage	02-08-2018_17:45	02-08-2018_18:30
The Privateer	+	+	1	1	Wackinger Stage	02-08-2018_18:30	02-08-2018_19:15
The Waltons	+	+	0	0	Beer Garden	02-08-2018_13:45	02-08-2018_14:30
Thundermother	+	+	0	0	Faster	03-08-2018_11:00	03-08-2018_12:05
Todesking	-	+	0	0	Headbangers Stage	02-08-2018_15:10	02-08-2018_15:30
Toxic Holocaust	-	?	0	0	Wasteland Stage	01-08-2018_22:15	01-08-2018_23:00
Traitor	?	--	0	0	Wasteland Stage	01-08-2018_14:45	01-08-2018_15:30
Tremonti	++	?	0	0	Louder	02-08-2018_14:30	02-08-2018_15:30
Trollfest	+	++	1	0	Wackiner Stage	03-08-2018_19:30	03-08-2018_20:15
Unzucht	+	?	0	0	Wackiner Stage	03-08-2018_16:30	03-08-2018_17:15
Vallenfrye	--	--	0	0	W:E:T Stage	02-08-2018_18:15	02-08-2018_19:00
Verlierer	?	---	0	0	Movie Field	03-08-2018_00:00	03-08-2018_01:30
Victims Of Madness	+	+	0	1	Headbangers Stage	04-08-2018_11:00	04-08-2018_11:20
Vince Neil	?	?	0	0	Harder	02-08-2018_15:45	02-08-2018_16:45
Visions Of Atlantis	+	+	0	0	Wackinger Stage	02-08-2018_20:00	02-08-2018_20:45
Vogelfrey	+	?	1	0	Wackinger Stage	01-08-2018_20:00	01-08-2018_20:45
Vogelfrey	+	?	1	0	Wackinger Stage	02-08-2018_17:00	02-08-2018_17:45
Voices Of Ruin	+	?	0	0	W:E:T Stage	02-08-2018_13:05	02-08-2018_13:25
Wacken Slam Battle	?	?	0	0	Welcome To The Jungle	01-08-2018_14:00	01-08-2018_15:30
Wacken Slam Battle	?	?	0	0	Welcome To The Jungle	02-08-2018_14:00	02-08-2018_15:30
Wacken Slam Battle	?	?	0	0	Welcome To The Jungle	03-08-2018_14:00	03-08-2018_15:30
Wacken Slam Battle	?	?	0	0	Welcome To The Jungle	04-08-2018_14:00	04-08-2018_16:00
Walking Dead On Broadway	--	+	0	1	Headbangers Stage	03-08-2018_14:50	03-08-2018_15:35
W.A.R.	-	-	0	0	Headbangers Stage	03-08-2018_20:10	03-08-2018_21:30
Watain	--	+	0	1	Headbangers Stage	02-08-2018_21:15	02-08-2018_22:15
We Are Twisted Fucking Sister	+	?	0	0	Movie Field	03-08-2018_01:30	03-08-2018_02:45
Werner - Beinhart	+	?	5	0	Movie Field	02-08-2018_00:30	02-08-2018_01:45
Wintersun	+++	+++	4	2	Harder	04-08-2018_13:15	04-08-2018_14:15
Wirtz	-	--	0	0	W:E:T Stage	03-08-2018_14:00	03-08-2018_14:45
Witch Taint	?	++	0	0	Welcome To The Jungle	01-08-2018_17:00	01-08-2018_18:00
Witch Taint	?	++	0	0	Welcome To The Jungle	02-08-2018_17:00	02-08-2018_18:00
Witch Taint	?	++	0	0	Welcome To The Jungle	03-08-2018_17:00	03-08-2018_18:00
Witch Taint	?	++	0	0	Welcome To The Jungle	04-08-2018_17:00	04-08-2018_18:00
W:O:A Firefighters	+	+	5	0	Beer Garden	01-08-2018_15:45	01-08-2018_16:30
W:O:A Firefighters	+	+	5	0	Beer Garden	02-08-2018_18:45	02-08-2018_19:30
W:O:A Firefighters	+	+	5	0	Beer Garden	04-08-2018_13:00	04-08-2018_13:45
Xenoblight	--	+	0	0	Headbangers Stage	01-08-2018_12:15	01-08-2018_12:35
Zeal & Ardor	+	?	0	0	Headbangers Stage	05-08-2018_02:15	05-08-2018_03:00
